	Heit(m)	air(kg/m3)
217	217000.0	1.638e-10
218	218000.0	1.592e-10
219	219000.0	1.5470000000000002e-10
220	220000.0	1.504e-10
221	221000.0	1.463e-10
222	222000.0	1.4219999999999998e-10
223	223000.0	1.383e-10
224	224000.0	1.345e-10
225	225000.0	1.309e-10
226	226000.0	1.273e-10
227	227000.0	1.239e-10
228	228000.0	1.205e-10
229	229000.0	1.173e-10
230	230000.0	1.1409999999999999e-10
231	231000.0	1.111e-10
232	232000.0	1.082e-10
233	233000.0	1.053e-10
234	234000.0	1.0250000000000001e-10
235	235000.0	9.983999999999999e-11
236	236000.0	9.723000000000001e-11
237	237000.0	9.469e-11
238	238000.0	9.224e-11
239	239000.0	8.985e-11
240	240000.0	8.754e-11
241	241000.0	8.529e-11
242	242000.0	8.311e-11
243	243000.0	8.099000000000001e-11
244	244000.0	7.892999999999999e-11
245	245000.0	7.693e-11
246	246000.0	7.499e-11
247	247000.0	7.31e-11
248	248000.0	7.126999999999999e-11
249	249000.0	6.949e-11
250	250000.0	6.776000000000001e-11
251	251000.0	6.607e-11
252	252000.0	6.444e-11
253	253000.0	6.285000000000001e-11
254	254000.0	6.13e-11
255	255000.0	5.979999999999999e-11
256	256000.0	5.833000000000001e-11
257	257000.0	5.6909999999999994e-11
258	258000.0	5.553e-11
259	259000.0	5.418e-11
260	260000.0	5.2879999999999996e-11
261	261000.0	5.16e-11
262	262000.0	5.036e-11
263	263000.0	4.916e-11
264	264000.0	4.798e-11
265	265000.0	4.6839999999999997e-11
266	266000.0	4.573e-11
267	267000.0	4.4649999999999996e-11
268	268000.0	4.359e-11
269	269000.0	4.257e-11
270	270000.0	4.157e-11
271	271000.0	4.059e-11
272	272000.0	3.965e-11
273	273000.0	3.8719999999999997e-11
274	274000.0	3.782e-11
275	275000.0	3.6950000000000006e-11
276	276000.0	3.609e-11
277	277000.0	3.5259999999999996e-11
278	278000.0	3.445e-11
279	279000.0	3.3659999999999997e-11
280	280000.0	3.289e-11
281	281000.0	3.2140000000000005e-11
282	282000.0	3.1410000000000004e-11
283	283000.0	3.0699999999999995e-11
284	284000.0	3e-11
285	285000.0	2.933e-11
286	286000.0	2.867e-11
287	287000.0	2.802e-11
288	288000.0	2.7399999999999997e-11
289	289000.0	2.678e-11
290	290000.0	2.619e-11
291	291000.0	2.56e-11
292	292000.0	2.5039999999999998e-11
293	293000.0	2.448e-11
294	294000.0	2.394e-11
295	295000.0	2.341e-11
296	296000.0	2.29e-11
297	297000.0	2.24e-11
298	298000.0	2.1910000000000002e-11
299	299000.0	2.143e-11
300	300000.0	2.096e-11
301	301000.0	2.05e-11
302	302000.0	2.006e-11
303	303000.0	1.963e-11
304	304000.0	1.92e-11
305	305000.0	1.879e-11
306	306000.0	1.838e-11
307	307000.0	1.799e-11
308	308000.0	1.76e-11
309	309000.0	1.7229999999999998e-11
310	310000.0	1.686e-11
311	311000.0	1.6499999999999998e-11
312	312000.0	1.615e-11
313	313000.0	1.581e-11
314	314000.0	1.548e-11
315	315000.0	1.515e-11
316	316000.0	1.4830000000000002e-11
317	317000.0	1.452e-11
